0|1|0.872938|0.949807|0.349252|0.867741|0.688922|0.097993|D|C|W
1|1|0.453493|0.816663|0.162646|0.281397|0.884440|0.986193|F|C|W
2|1|0.040634|0.346121|0.784406|0.853373|0.305069|0.396160|S|C|R
3|1|0.220118|0.381589|0.168623|0.684783|0.084539|0.484127|S|P|R
4|0|0.890329|0.560308|0.505675|0.536569|0.870912|0.229754|S|C|W
5|1|0.890432|0.192262|0.527883|0.199921|0.797480|0.427827|D|C|W
6|0|0.924782|0.728130|0.375169|0.370491|0.961077|0.962386|F|C|W
7|1|0.865270|0.465662|0.035559|0.174199|0.030389|0.383638|S|P|W
8|1|0.533447|0.812013|0.634850|0.015198|0.167481|0.875954|D|C|W
9|0|0.243096|0.625986|0.625922|0.547738|0.966233|0.862069|C|P|W
10|1|0.127220|0.018789|0.751501|0.694768|0.966177|0.536781|B|C|R
11|0|0.384107|0.075423|0.414071|0.548757|0.886363|0.965312|R|P|W
12|0|0.339653|0.479372|0.663312|0.485154|0.816197|0.161448|F|C|W
13|0|0.044682|0.449961|0.656112|0.584966|0.551794|0.790933|F|P|W
14|0|0.254712|0.203275|0.458400|0.372178|0.888330|0.510133|C|C|W
15|0|0.135109|0.798732|0.229769|0.455530|0.785498|0.005063|N|P|W
16|1|0.072798|0.426923|0.240809|0.630062|0.339142|0.575223|N|C|R
17|1|0.726962|0.234923|0.385320|0.909341|0.170896|0.664127|R|C|R
18|0|0.174684|0.416083|0.177356|0.766021|0.058674|0.944292|D|P|W
19|1|0.665225|0.741062|0.631001|0.654558|0.329581|0.505357|T|P|R
20|1|0.090541|0.521258|0.818054|0.456808|0.435418|0.301806|N|P|R
21|1|0.279247|0.253593|0.960369|0.315421|0.247303|0.090673|T|P|W
22|0|0.847241|0.985643|0.232732|0.397692|0.771543|0.648787|A|C|W
23|0|0.131285|0.011677|0.729855|0.622179|0.554906|0.002201|A|P|R
24|0|0.736222|0.286359|0.186971|0.200438|0.432612|0.722942|R|C|W
25|1|0.277954|0.621343|0.396767|0.598497|0.654554|0.704627|B|P|W
26|1|0.916623|0.972510|0.011961|0.649827|0.782472|0.005307|B|P|W
27|0|0.075060|0.875199|0.841000|0.421290|0.616021|0.242130|C|C|R
28|1|0.909873|0.322474|0.416584|0.071502|0.104589|0.018404|B|P|R
29|1|0.447456|0.174596|0.942722|0.416654|0.998706|0.986069|F|P|W
30|0|0.933963|0.155368|0.797616|0.919142|0.480412|0.223292|F|P|W
31|0|0.730732|0.348265|0.564324|0.721986|0.218255|0.632412|Z|P|R
32|0|0.915328|0.728436|0.567862|0.175815|0.433555|0.280142|R|C|R
33|1|0.519351|0.749943|0.694202|0.091002|0.949315|0.331720|R|C|R
34|1|0.666205|0.466973|0.225277|0.830692|0.771556|0.273377|F|C|W
35|1|0.415569|0.076621|0.624752|0.200767|0.905024|0.564008|N|C|R
36|1|0.153993|0.893305|0.802315|0.664182|0.696039|0.445599|B|C|R
37|0|0.544933|0.285779|0.044821|0.396991|0.367713|0.318930|D|C|R
38|0|0.560306|0.336226|0.578135|0.305933|0.904538|0.215142|Z|P|R
39|0|0.207944|0.039936|0.481213|0.797467|0.162334|0.559319|F|P|W
40|1|0.240777|0.055416|0.511796|0.053374|0.085477|0.653849|R|P|R
41|1|0.984663|0.083271|0.793571|0.978760|0.603693|0.412465|B|P|R
42|1|0.077365|0.252943|0.407645|0.113896|0.190405|0.011620|A|P|W
43|1|0.051400|0.999756|0.346661|0.466281|0.940624|0.205587|C|C|W
44|0|0.653768|0.965440|0.890945|0.699732|0.948342|0.332344|R|C|R
45|0|0.848569|0.634767|0.003943|0.003899|0.235064|0.325420|Z|P|W
46|0|0.288040|0.138486|0.529077|0.027939|0.825638|0.205205|A|P|R
47|0|0.639283|0.630470|0.422130|0.120765|0.613012|0.999822|F|C|W
48|1|0.096638|0.834732|0.948868|0.603032|0.606246|0.432376|C|P|R
49|1|0.892984|0.655307|0.009722|0.067540|0.709072|0.863766|N|P|R
50|1|0.828680|0.778249|0.281634|0.859950|0.812654|0.018129|C|C|W
51|1|0.931535|0.953780|0.840233|0.442369|0.589211|0.552434|B|C|W
52|1|0.351415|0.501275|0.313125|0.070792|0.663224|0.747984|N|P|W
53|0|0.391735|0.336662|0.295774|0.152580|0.810542|0.358431|C|C|R
54|1|0.056795|0.651142|0.064911|0.449564|0.289565|0.535343|A|P|W
55|1|0.933564|0.034114|0.037131|0.098099|0.785842|0.074287|R|P|R
56|0|0.529095|0.402707|0.316765|0.281995|0.655412|0.175875|R|C|W
57|1|0.293790|0.383392|0.346361|0.656931|0.628626|0.719501|A|C|R
58|1|0.015058|0.976506|0.566736|0.147826|0.429648|0.628683|F|P|R
59|1|0.426669|0.885579|0.026863|0.695073|0.916542|0.705666|Z|C|R
60|1|0.286754|0.509430|0.778127|0.454240|0.889577|0.103048|D|P|W
61|1|0.654645|0.086682|0.949078|0.109035|0.722403|0.734033|S|C|W
62|1|0.614724|0.690553|0.782055|0.452959|0.450813|0.188353|A|P|R
63|1|0.680330|0.190445|0.338095|0.488238|0.109223|0.035711|Z|P|R
64|1|0.772159|0.840504|0.583275|0.139611|0.337473|0.844134|C|C|R
