0|1|0.560561|0.849078|0.413877|0.442449|0.334690|0.051797
1|0|0.555219|0.837927|0.833358|0.262491|0.696871|0.843949
2|0|0.107760|0.132084|0.027791|0.258142|0.556140|0.145430
3|0|0.837315|0.041081|0.070477|0.052865|0.843439|0.396852
4|0|0.452035|0.849118|0.696896|0.940319|0.790917|0.426401
5|0|0.709110|0.599782|0.248943|0.426881|0.285557|0.684389
6|1|0.370999|0.263488|0.403705|0.693746|0.550712|0.055228
7|1|0.656094|0.588863|0.111487|0.640408|0.486920|0.615583
8|1|0.401442|0.282005|0.115289|0.505390|0.921183|0.844333
9|1|0.199357|0.447517|0.660568|0.311251|0.657136|0.600843
10|1|0.300526|0.076155|0.216902|0.498811|0.745125|0.357433
11|1|0.358186|0.665089|0.558630|0.593278|0.023727|0.071345
12|0|0.810941|0.563431|0.469196|0.701278|0.895903|0.831944
13|1|0.898303|0.004549|0.693611|0.280559|0.191862|0.614937
14|1|0.282475|0.215681|0.226503|0.502109|0.352893|0.988401
15|1|0.854625|0.571722|0.039893|0.459725|0.281215|0.739573
16|1|0.161577|0.968142|0.784544|0.443911|0.963313|0.208678
17|1|0.422777|0.491675|0.041381|0.937197|0.397440|0.070521
18|0|0.663186|0.667242|0.310143|0.677058|0.256931|0.452161
19|1|0.595860|0.024529|0.381079|0.516336|0.456345|0.430552
20|1|0.883021|0.137557|0.367650|0.290731|0.688327|0.522085
21|1|0.495989|0.072476|0.380692|0.640573|0.965310|0.343631
22|0|0.452636|0.184581|0.044971|0.924507|0.193932|0.556394
23|1|0.777352|0.649453|0.682024|0.832318|0.844163|0.725357
24|0|0.306571|0.105726|0.835323|0.347169|0.726746|0.461707
25|1|0.704928|0.528381|0.810112|0.646427|0.999312|0.992234
26|0|0.676018|0.967939|0.941615|0.790198|0.193349|0.313979
27|1|0.760768|0.032859|0.672778|0.781994|0.127766|0.518928
28|1|0.430794|0.918578|0.457267|0.011738|0.225543|0.686315
29|0|0.046168|0.161096|0.346806|0.795033|0.097539|0.018742
30|1|0.301814|0.241485|0.879347|0.296170|0.796114|0.174514
31|0|0.344028|0.122369|0.481316|0.678628|0.383148|0.474745
32|1|0.483081|0.221818|0.655249|0.356704|0.863718|0.421257
33|1|0.557952|0.118060|0.809115|0.624659|0.644951|0.309943
34|1|0.628360|0.099846|0.761555|0.398181|0.500212|0.860214
35|0|0.675249|0.767775|0.122055|0.100429|0.502575|0.252479
36|0|0.287065|0.394255|0.758196|0.847116|0.251817|0.251175
37|1|0.808965|0.780395|0.766442|0.650856|0.202834|0.332315
38|1|0.318000|0.645223|0.838025|0.826946|0.826547|0.751340
39|0|0.112845|0.864033|0.677683|0.581916|0.240324|0.996096
40|0|0.090255|0.481127|0.310304|0.232592|0.001816|0.276286
41|0|0.027982|0.068615|0.887056|0.560756|0.563258|0.186997
42|0|0.546640|0.901141|0.931584|0.117064|0.628022|0.705758
43|0|0.027409|0.059804|0.081673|0.839100|0.578643|0.555359
44|0|0.722283|0.832984|0.051249|0.496016|0.232507|0.418120
45|1|0.734030|0.744374|0.111392|0.436609|0.470781|0.919216
46|1|0.339417|0.192865|0.478085|0.283723|0.520486|0.910339
47|1|0.933372|0.709352|0.948457|0.383126|0.065403|0.532820
48|1|0.055416|0.649055|0.548437|0.450493|0.667877|0.275013
49|0|0.181241|0.111538|0.448535|0.290470|0.345526|0.891842
50|1|0.427117|0.851602|0.716351|0.854914|0.073857|0.400386
51|1|0.864199|0.540925|0.172348|0.911242|0.325998|0.010121
52|0|0.648319|0.650412|0.760674|0.976587|0.255678|0.832789
53|1|0.130470|0.150999|0.583879|0.092991|0.513535|0.291879
54|1|0.454300|0.000262|0.034049|0.209396|0.127095|0.095738
55|0|0.170654|0.993610|0.201735|0.012905|0.159909|0.704769
56|0|0.953597|0.630468|0.184111|0.569178|0.428315|0.247775
57|0|0.062140|0.624295|0.815417|0.778680|0.451444|0.771050
58|0|0.154440|0.380148|0.731109|0.483099|0.978103|0.984214
59|0|0.955621|0.923941|0.465483|0.618420|0.728717|0.069159
